bar,start_s,end_s,bpm,meter,dynamic,notes
1,0.00,0.50,126,4/4,mf,Seg1 Innocence begins - pizzicato strings enter
2,0.50,1.00,126,4/4,mf,Flute melody introduces innocence motif
3,1.00,1.50,126,4/4,mf,Harp glissando
4,1.50,2.00,126,4/4,mf,Full ensemble playful
5,2.00,2.50,126,4/4,mf,Glockenspiel accent
6,2.50,3.00,126,4/4,mf,Building energy
7,3.00,3.50,126,4/4,mf,Strings crescendo
8,3.50,4.00,126,4/4,mf,Peak of joy
9,4.00,4.50,126,4/4,mf,Maintaining energy
10,4.50,5.00,126,4/4,mf,Melodic development
11,5.00,5.50,126,4/4,mf,Countermelody enters
12,5.50,6.00,126,4/4,mf,Building to transition
13,6.00,6.50,126,4/4,mf,Energy sustains
14,6.50,7.00,126,4/4,mf,Preparing modulation
15,7.00,7.50,126,4/4,mf,Final flourish
16,7.50,8.00,126,4/4,mf-dim,Transition to Seg2
17,8.00,8.75,80,4/4,mf,Seg2 Commissioner - cold E minor
18,8.75,9.50,80,4/4,mf,Low cellos establish governance motif
19,9.50,10.25,80,4/4,mf,Bassoon joins
20,10.25,11.00,80,4/4,mf,Institutional atmosphere
21,11.00,11.75,80,4/4,mf-f,Building tension
22,11.75,12.50,80,4/4,f,Brass enters cold
23,12.50,13.25,80,4/4,f,Sustained dissonance
24,13.25,14.00,80,4/4,f,Power chord
25,14.00,14.75,80,4/4,f,Maintaining coldness
26,14.75,15.50,80,4/4,f,Preparing transition
27,15.50,16.00,80,4/4,f,Bridge to Seg3
28,16.00,16.60,100,4/4,f,Seg3 Kang Investment - piano enters
29,16.60,17.20,100,4/4,f,Dissonant clusters
30,17.20,17.80,100,4/4,f,Capital motif introduces
31,17.80,18.40,100,4/4,f,Building calculation
32,18.40,19.00,100,4/4,f,Mechanical repetition begins
33,19.00,19.60,100,4/4,f,Strings tension
34,19.60,20.20,100,4/4,f,Corporate atmosphere
35,20.20,20.80,100,4/4,f,Money theme develops
36,20.80,21.40,100,4/4,f,Crescendo building
37,21.40,22.00,100,4/4,f,Peak tension
38,22.00,22.60,100,4/4,f,Sustained intensity
39,22.60,23.20,100,4/4,f,Preparing Seg4
40,23.20,24.00,100,4/4,f-ff,Transition hit
41,24.00,24.60,100,4/4,ff,Seg4 Long Stadium - sharp violin stabs
42,24.60,25.20,100,4/4,ff,Timpani enters
43,25.20,25.80,100,4/4,ff,Full strings mechanical
44,25.80,26.40,100,4/4,ff,Capital motif intensifies
45,26.40,27.00,100,4/4,ff,Relentless rhythm
46,27.00,27.60,100,4/4,ff,Building oppression
47,27.60,28.20,100,4/4,ff,Chromatic rises
48,28.20,28.80,100,4/4,ff,Peak mechanical
49,28.80,29.40,100,4/4,ff,Sustained assault
50,29.40,30.00,100,4/4,ff,No respite
51,30.00,30.60,100,4/4,ff,Driving forward
52,30.60,31.20,100,4/4,ff,Preparing climax
53,31.20,32.00,100,4/4,ff,Bridge to Seg5
54,32.00,32.60,100,4/4,ff,Seg5 Wilfs Money - greed climax
55,32.60,33.20,100,4/4,ff,Full orchestra overwhelming
56,33.20,33.80,100,4/4,ff,Brass dominance
57,33.80,34.40,100,4/4,ff,Chromatic clusters peak
58,34.40,35.00,100,4/4,ff,Maximum oppression
59,35.00,35.60,100,4/4,ff,Sustaining intensity
60,35.60,36.20,100,4/4,ff,No relief
61,36.20,36.80,100,4/4,ff,Hammering rhythm
62,36.80,37.40,100,4/4,ff,Building to break
63,37.40,38.00,100,4/4,ff,Final greed statement
64,38.00,38.60,100,4/4,ff,Sustained dissonance
65,38.60,39.20,100,4/4,ff,Preparing horror
66,39.20,40.00,100,4/4,ff-dim,Sudden drop
67,40.00,41.00,60,4/4,ff-p,Seg6 Policy Medical - atonal horror
68,41.00,42.00,60,4/4,p-ff,Sudden stab
69,42.00,43.00,60,4/4,ff-p,Drop again
70,43.00,44.00,60,4/4,p,Metallic percussion
71,44.00,45.00,60,4/4,p-ff,Another stab
72,45.00,46.00,60,4/4,ff,Sustained strings
73,46.00,47.00,60,4/4,ff-p,Clinical terror
74,47.00,48.00,60,4/4,p,Preparing return
75,48.00,48.75,80,4/4,mf,Seg7 Confusion - innocence returns broken
76,48.75,49.50,80,4/4,mf,Solo violin struggles
77,49.50,50.25,80,4/4,mf,G minor fractured motif
78,50.25,51.00,80,4/4,mf-mp,Beginning fade
79,51.00,51.75,80,4/4,mp,Orchestra fragments
80,51.75,52.50,80,4/4,mp,Lost innocence
81,52.50,53.25,80,4/4,mp,Melancholic descent
82,53.25,54.00,80,4/4,mp,Preparing question
83,54.00,54.75,80,4/4,mp,Solo instruments
84,54.75,55.50,80,4/4,mp,Final confusion
85,55.50,56.00,70,4/4,mp,Ritardando begins
86,56.00,56.80,60,4/4,mp-fff,Seg8 Unanswered - devastating crescendo
87,56.80,57.60,50,4/4,fff,Full orchestra swell with soprano
88,57.60,58.60,40,4/4,fff-pp,Sudden drop to whisper
89,58.60,60.00,30,4/4,pp-ppp,Unresolved suspension fading
90,60.00,60.25,30,4/4,ppp,Reverb tail (250ms)
