time_in_sec,time_out_sec,text,anchor,offset_x,offset_y,style
10.0,12.5,"Commissioner Jessica Berman",top_center,0,120,secondary
13.0,15.5,"Receives her marching orders from majority owners",top_center,0,180,secondary
17.0,19.5,"Michele Kang - Washington Spirit",center,0,-60,secondary
20.0,21.8,"Spent \$30 million+ on women's soccer",center,0,60,primary
22.0,23.8,"Why no answer?",center,0,120,primary
25.0,27.5,"Angie Long - Kansas City Current",center,0,-60,secondary
28.0,29.7,"Built a \$117 million stadium for women",center,0,60,primary
30.0,31.5,"...only to let males play",center,0,120,secondary
33.0,34.5,"The Wilf Family - Orlando Pride",top_center,0,120,secondary
35.0,36.5,"What excuse will they use?",top_center,0,180,secondary
37.0,38.5,"Money, probably.",top_center,0,240,secondary
41.0,43.5,"The 2021 NWSL Policy remains in place",center,0,0,primary
44.0,46.5,"Males can compete with surgical castration or testosterone blockers",bottom_center,0,120,secondary
49.0,50.5,"Thousands of young girls are asking...",center,0,0,primary
51.0,52.8,"Is it all about the money?",center,0,80,secondary
54.0,55.5,"What happened to women playing women?",center,0,140,secondary
57.0,58.5,"Why won't you answer them?",center,0,0,primary
62.0,64.0,"@asphaltcowb0y",bottom_right,80,80,watermark
